im,L,k,qs,MSE,SNR,PSNR
airplane_256,64,0,1.0,3.571533203125,32.53468282179233,42.60225668925355
airplane_256,64,1,1.0,4.179367065429688,27.80294196035765,41.91969844835584
airplane_256,64,2,1.0,3.7408599853515625,31.06202862608653,42.40108907341492
airplane_256,64,3,1.0,3.797393798828125,30.599591748169697,42.335947240152095
airplane_256,64,4,1.0,2.9810028076171875,38.97973515967711,43.387179758007015
arctichare_256,64,0,1.0,2.803497314453125,22.66226528057476,43.65380216455779
arctichare_256,64,1,1.0,2.5849609375,24.57816632036268,44.00626376206375
arctichare_256,64,2,1.0,3.2033233642578125,19.833651688872163,43.07479579486528
arctichare_256,64,3,1.0,2.8325347900390625,22.429945106742878,43.609051081650605
arctichare_256,64,4,1.0,3.0658111572265625,20.72325939050672,43.265349604801024
baboon_256,64,0,1.0,3.5308837890625,28.064377700950736,42.65196936875879
baboon_256,64,1,1.0,3.5474853515625,27.933041705378344,42.6315975004318
baboon_256,64,2,1.0,3.708663940429688,26.719071306022197,42.438628792322994
baboon_256,64,3,1.0,3.3316650390625,29.742502656358774,42.90419029297424
baboon_256,64,4,1.0,3.5513458251953125,27.902677224898063,42.62687395504863
barbara_256,64,0,1.0,3.44781494140625,31.34974950875392,42.755364134840725
barbara_256,64,1,1.0,3.828857421875,28.229866734680865,42.30011166378623
barbara_256,64,2,1.0,3.6440582275390634,29.66147301071532,42.51495053023351
barbara_256,64,3,1.0,3.5557403564453125,30.39820794836694,42.6215032000954
barbara_256,64,4,1.0,3.5052032470703125,30.836481409734585,42.68367155534723
boat_256,64,0,1.0,4.0927581787109375,26.101333591824712,42.010642758253766
boat_256,64,1,1.0,4.090789794921875,26.11389288831529,42.01273197001643
boat_256,64,2,1.0,4.60662841796875,23.18972507452799,41.49697178468512
boat_256,64,3,1.0,4.204986572265625,25.40470574574168,41.89315747559248
boat_256,64,4,1.0,4.069671630859375,26.24940197217952,42.03520992099442
fruits_256,64,0,1.0,3.40594482421875,33.25881225023744,42.80842752688017
fruits_256,64,1,1.0,2.7337646484375,41.43651484706408,43.7631923771896
fruits_256,64,2,1.0,2.971221923828125,38.12494736085291,43.40145269921031
fruits_256,64,3,1.0,3.646759033203125,31.062562240056234,42.5117329347067
fruits_256,64,4,1.0,3.0498046875,37.14260126480948,43.28808333277523
lena_256,64,0,1.0,4.032318115234375,26.0208694401768,42.07525573977786
lena_256,64,1,1.0,3.946624755859375,26.585862530253703,42.16854525125245
lena_256,64,2,1.0,3.743728637695313,28.026717043884425,42.39775999280104
lena_256,64,3,1.0,3.563232421875,29.44641572456321,42.61236209511652
lena_256,64,4,1.0,4.08905029296875,25.65985148145384,42.01457908708173
monarch_256,64,0,1.0,4.1082305908203125,27.13838365454971,41.994255487493184
monarch_256,64,1,1.0,2.7972564697265625,39.85717402807098,43.663480738740354
monarch_256,64,2,1.0,3.287704467773437,33.91142330701791,42.96187589038723
monarch_256,64,3,1.0,4.2866058349609375,26.00909488941967,41.809668100774985
monarch_256,64,4,1.0,4.191375732421875,26.60003422089222,41.90723766318182
peppers_256,64,0,1.0,4.320648193359375,25.66130570211684,41.77531455330317
peppers_256,64,1,1.0,3.7028961181640634,29.942366888776256,42.44538832437412
peppers_256,64,2,1.0,4.2765655517578125,25.92582126457082,41.81985227528956
peppers_256,64,3,1.0,3.075424194335937,36.05144107446751,43.25175334234966
peppers_256,64,4,1.0,3.67596435546875,30.161738090889468,42.47709069334001
zelda_256,64,0,1.0,3.5186920166015625,29.55122917940512,42.666991052131536
zelda_256,64,1,1.0,3.8311614990234375,27.141031308870915,42.2974990122198
zelda_256,64,2,1.0,3.8704833984375,26.865293941400957,42.253151518790986
zelda_256,64,3,1.0,3.744552612304688,27.768784407688575,42.396804239095815
zelda_256,64,4,1.0,3.3332672119140625,31.195121058004386,42.90210230523275
airplane_256,64,0,1.1,4.24993896484375,27.3412632304577,41.84697667858046
airplane_256,64,1,1.1,5.540679931640625,20.971920664033885,40.69517297865045
airplane_256,64,2,1.1,4.4801177978515625,25.93652783123133,41.61790927609871
airplane_256,64,3,1.1,5.107437133789063,22.75088207790966,41.048773311564815
airplane_256,64,4,1.1,5.122360229492188,22.68460138397791,41.03610243943712
arctichare_256,64,0,1.1,3.5244293212890625,18.026634686570524,42.65991555194241
arctichare_256,64,1,1.1,3.2237548828125,19.707949941307888,43.047183479237255
arctichare_256,64,2,1.1,3.0057830810546875,21.13712072370258,43.35122725302385
arctichare_256,64,3,1.1,3.8924713134765625,16.322175486187607,42.22854940255817
arctichare_256,64,4,1.1,3.1166229248046875,20.385398357902776,43.19396100003589
baboon_256,64,0,1.1,4.05023193359375,24.465773293750654,42.056004673826656
baboon_256,64,1,1.1,3.8754730224609375,25.56902233614061,42.24755642797941
baboon_256,64,2,1.1,3.43011474609375,28.88884588693749,42.77771712323159
baboon_256,64,3,1.1,4.0795440673828125,24.28998305636284,42.02468732112385
baboon_256,64,4,1.1,3.9149017333984375,25.311505376763183,42.20359495413518
barbara_256,64,0,1.1,5.0536956787109375,21.38793897324569,41.09471274656356
barbara_256,64,1,1.1,3.5365447998046875,30.563202471404963,42.6450119691269
barbara_256,64,2,1.1,4.1956634521484375,25.76186960617092,41.90279716126346
barbara_256,64,3,1.1,3.9886474609375,27.0989441469013,42.12254708247084
barbara_256,64,4,1.1,3.800872802734375,28.437714276538173,42.33197024807267
boat_256,64,0,1.1,4.563644409179688,23.40814422752213,41.53768563234664
boat_256,64,1,1.1,4.1190948486328125,25.93444687700269,41.98278568483335
boat_256,64,2,1.1,4.0001220703125,26.70579663706552,42.11007116126397
boat_256,64,3,1.1,4.165283203125,25.64686272785886,41.93435825863855
boat_256,64,4,1.1,4.2027740478515625,25.41807989601827,41.89544319044498
