im,L,k,qs,MSE,SNR,PSNR
boat_256,0,0,1.0,0.0,inf,inf
boat_256,0,1,1.0,0.0,inf,inf
boat_256,0,2,1.0,0.0,inf,inf
boat_256,0,3,1.0,0.0,inf,inf
boat_256,0,4,1.0,0.0,inf,inf
boat_256,8,0,1.0,1.8541412353515625,57.6150535333668,45.44937548320685
boat_256,8,1,1.0,0.6403656005859375,166.82102604427288,50.066523665977925
boat_256,8,2,1.0,1.3419189453125,79.60722732648048,46.85354076530181
boat_256,8,3,1.0,2.073028564453125,51.53158444846825,44.96475074548819
boat_256,8,4,1.0,1.0555877685546875,101.20091357203776,47.89586011604837
boat_256,16,0,1.0,2.6430206298828125,40.41831733183999,43.90979807872674
boat_256,16,1,1.0,2.57940673828125,41.41512268995054,44.015605308419666
boat_256,16,2,1.0,2.816650390625,37.92676822397504,43.63347416205515
boat_256,16,3,1.0,3.11895751953125,34.25068981037553,43.19070901198553
boat_256,16,4,1.0,2.4076080322265625,44.37036473682543,44.31494577325868
boat_256,24,0,1.0,2.517242431640625,42.43788567618355,44.12155317090068
boat_256,24,1,1.0,2.7901153564453125,38.287465887899025,43.67458201453818
boat_256,24,2,1.0,2.320556640625,46.034836927932666,44.474881876342224
boat_256,24,3,1.0,2.9228363037109375,36.54889820465568,43.47275867914104
boat_256,24,4,1.0,3.3084869384765625,32.28861063069296,42.934509364292516
boat_256,32,0,1.0,3.677703857421875,29.047049646920197,42.475036055867335
boat_256,32,1,1.0,3.186431884765625,33.525413502150116,43.09775721713285
boat_256,32,2,1.0,2.6194305419921875,40.782316927539945,43.948734738806436
boat_256,32,3,1.0,2.0726470947265625,51.5410688124388,44.965549988899134
boat_256,32,4,1.0,2.9247894287109375,36.52449146750557,43.4698575651494
boat_256,40,0,1.0,4.043548583984375,26.41898429422109,42.06317695261373
boat_256,40,1,1.0,3.0278167724609375,35.28167473832214,43.31950770461546
boat_256,40,2,1.0,3.5210113525390625,30.339705225934225,42.66412935531574
boat_256,40,3,1.0,4.025848388671875,26.535138986802508,42.0822294530857
boat_256,40,4,1.0,3.5960693359375,29.70644794460097,42.572523040790344
boat_256,48,0,1.0,4.0412139892578125,26.43424644603447,42.065685131737666
boat_256,48,1,1.0,4.0728607177734375,26.22884845215215,42.03180802374525
boat_256,48,2,1.0,5.30389404296875,20.141135110875844,40.884855213787404
boat_256,48,3,1.0,3.7781829833984375,28.274556050515535,42.357973732016845
boat_256,48,4,1.0,4.7442626953125,22.51697542776277,41.3691163245816
boat_256,56,0,1.0,3.59075927734375,29.75037820196835,42.57894069644791
boat_256,56,1,1.0,5.0071258544921875,21.334883451623813,41.134918533067165
boat_256,56,2,1.0,4.124969482421875,25.89751196667826,41.97659620991617
boat_256,56,3,1.0,4.48040771484375,23.84301905812797,41.617628244925285
boat_256,56,4,1.0,4.8961944580078125,21.818260579599038,41.2322170288182
boat_256,64,0,1.0,5.66253662109375,18.865475613042307,40.600693371428264
boat_256,64,1,1.0,4.367462158203125,24.45961582805196,41.72851210133323
boat_256,64,2,1.0,4.117645263671875,25.94357689713697,41.98431431569337
boat_256,64,3,1.0,4.7790069580078125,22.35327286021258,41.337426980344574
boat_256,64,4,1.0,4.2424774169921875,25.180203931159745,41.85460821652335
boat_256,72,0,1.0,5.297607421875,20.165036407207705,40.89000589018906
boat_256,72,1,1.0,4.910552978515625,21.754463703086838,41.2194995998823
boat_256,72,2,1.0,4.88690185546875,21.859748710454994,41.24046743766556
boat_256,72,3,1.0,4.940185546875,21.62397454904868,41.19337100108099
boat_256,72,4,1.0,5.3946533203125,19.8022820356165,40.811168202665826
boat_256,80,0,1.0,5.2453460693359375,20.365948236991613,40.93306214182977
boat_256,80,1,1.0,5.61981201171875,19.008900352973118,40.63358572636696
boat_256,80,2,1.0,5.796722412109375,18.42876697183951,40.4989785707737
boat_256,80,3,1.0,4.7933197021484375,22.286526493386603,41.32443964580375
boat_256,80,4,1.0,5.28692626953125,20.205775735676106,40.89877107008856
