im,L,k,qs,MSE,SNR,PSNR
lena_256,0,0,1.0,0.0,inf,inf
lena_256,0,1,1.0,0.0,inf,inf
lena_256,0,2,1.0,0.0,inf,inf
lena_256,0,3,1.0,0.0,inf,inf
lena_256,0,4,1.0,0.0,inf,inf
lena_256,8,0,1.0,1.3150177001953125,79.78936192432207,46.94148762380219
lena_256,8,1,1.0,1.6007080078125,65.54875886524823,46.087682432903506
lena_256,8,2,1.0,1.54150390625,68.06627138105797,46.25135731279486
lena_256,8,3,1.0,1.815338134765625,57.79883163822812,45.541228299059966
lena_256,8,4,1.0,1.7952117919921875,58.4468215314787,45.58964668584446
lena_256,16,0,1.0,1.5283203125,68.65342452076678,46.28865975625254
lena_256,16,1,1.0,1.916748046875,54.74085307604127,45.30515331476141
lena_256,16,2,1.0,1.9483795166015625,53.85214857975237,45.23406805700919
lena_256,16,3,1.0,1.8983306884765625,55.271941740549316,45.34708492254544
lena_256,16,4,1.0,2.357452392578125,44.50754702326244,44.40637429702185
lena_256,24,0,1.0,1.9759368896484375,53.101100428587976,45.1730729152477
lena_256,24,1,1.0,3.0610809326171875,34.27691901241707,43.27205548707886
lena_256,24,2,1.0,1.6858673095703125,62.23765216997783,45.86256971474313
lena_256,24,3,1.0,2.2520904541015625,46.5897908437392,44.60494531114775
lena_256,24,4,1.0,2.9227752685546875,35.89890209713543,43.472849370187596
lena_256,32,0,1.0,2.1631011962890625,48.506479215016824,44.78003523369697
lena_256,32,1,1.0,3.0695648193359375,34.18218196821546,43.260035521521836
lena_256,32,2,1.0,2.1200103759765625,49.49241022909664,44.867423743644714
lena_256,32,3,1.0,2.542327880859375,41.27100363714934,44.078488006195585
lena_256,32,4,1.0,2.8359375,36.99814372417355,43.603837054796664
lena_256,40,0,1.0,2.7320404052734375,38.40515060291432,43.76593242850534
lena_256,40,1,1.0,2.137115478515625,49.09628154050465,44.83252371072992
lena_256,40,2,1.0,3.3134918212890625,31.665816267792753,42.92794457911042
lena_256,40,3,1.0,3.579559326171875,29.31210622788695,42.59250796232911
lena_256,40,4,1.0,2.8940582275390625,36.25511823478238,43.515730961289435
lena_256,48,0,1.0,3.60821533203125,29.07931305715784,42.55787913283369
lena_256,48,1,1.0,3.330413818359375,31.50492069164582,42.905821610360384
lena_256,48,2,1.0,2.520416259765625,41.62979936795457,44.1160808818553
lena_256,48,3,1.0,3.29681396484375,31.826006664815328,42.949859197366806
lena_256,48,4,1.0,3.4368743896484375,30.52902472484783,42.76916700967932
lena_256,56,0,1.0,3.288909912109375,31.902492321682086,42.96028383161972
lena_256,56,1,1.0,3.164886474609375,33.1526656831265,43.127222245034645
lena_256,56,2,1.0,3.458282470703125,30.340038474775195,42.742198975351265
lena_256,56,3,1.0,3.582000732421875,29.292127795527158,42.589546905534604
lena_256,56,4,1.0,4.236572265625,24.76634803780326,41.860657420536064
lena_256,64,0,1.0,4.345184326171875,24.147289353363814,41.75072156575432
lena_256,64,1,1.0,3.483184814453125,30.12312834575992,42.71103842548701
lena_256,64,2,1.0,3.8718109130859375,27.09957319019638,42.25166221273024
lena_256,64,3,1.0,3.188446044921875,32.907699154854086,43.09501288640124
lena_256,64,4,1.0,3.0373077392578125,34.54520655302859,43.305915641124244
lena_256,72,0,1.0,3.958770751953125,26.504293830605686,42.15520007901871
lena_256,72,1,1.0,3.9280853271484375,26.71134012609204,42.18899447764394
lena_256,72,2,1.0,2.9952545166015625,35.030219514307404,43.36646629147852
lena_256,72,3,1.0,3.2415008544921875,32.3690870148516,43.02334220444585
lena_256,72,4,1.0,4.141448974609375,25.335196415807584,41.95928045935274
lena_256,80,0,1.0,4.7168121337890625,22.244774699874807,41.39431781820329
lena_256,80,1,1.0,4.3718109130859375,24.00021988684553,41.7241899102557
lena_256,80,2,1.0,4.4505615234375,23.57554718999424,41.646655518767524
lena_256,80,3,1.0,4.3392333984375,24.180405519453117,41.7566735030372
lena_256,80,4,1.0,4.2582550048828125,24.640239510658656,41.83848695335038
lena_256,88,0,1.0,4.2871551513671875,24.47413716396821,41.809111600343584
lena_256,88,1,1.0,3.62567138671875,28.93930862077673,42.53691921671582
lena_256,88,2,1.0,4.24993896484375,24.688454136806882,41.84697667858046
lena_256,88,3,1.0,3.905853271484375,26.86338065584786,42.21364436453091
lena_256,88,4,1.0,3.9525604248046875,26.545937807632175,42.16201842931936
lena_256,96,0,1.0,4.9020843505859375,21.404042793599015,41.226995809451516
lena_256,96,1,1.0,4.6214599609375,22.703739533532318,41.48301166087354
