,im,L,k,MSE,SNR,PSNR
0,barbara_256,0,0,0.0,inf,inf
1,barbara_256,0,1,0.0,inf,inf
2,barbara_256,0,2,0.0,inf,inf
3,barbara_256,0,3,0.0,inf,inf
4,barbara_256,0,4,0.0,inf,inf
5,barbara_256,8,0,1.194305419921875,90.50292576977131,47.35964957671726
6,barbara_256,8,1,0.99200439453125,108.95933058512274,48.16566764806025
7,barbara_256,8,2,0.8394622802734375,128.75877487957828,48.89079174196267
8,barbara_256,8,3,1.1029052734375,98.00309905921416,47.705421476027155
9,barbara_256,8,4,1.51483154296875,71.35323743905879,46.3271602111661
10,barbara_256,16,0,1.56890869140625,68.89383388445827,46.17482691960595
11,barbara_256,16,1,1.54913330078125,69.77329498443717,46.22991571060348
12,barbara_256,16,2,1.7489776611328125,61.800752043691816,45.702960983924974
13,barbara_256,16,3,1.648040771484375,65.5858378238246,45.96112409203626
14,barbara_256,16,4,1.5484161376953125,69.8056111237029,46.23192671951615
15,barbara_256,24,0,1.6096649169921875,67.14946298736385,46.0634488225663
16,barbara_256,24,1,1.9820709228515625,54.53292993679608,45.15961170430059
17,barbara_256,24,2,1.7886199951171875,60.43102227454594,45.60562279413885
18,barbara_256,24,3,1.67059326171875,64.70044938073143,45.90209635506598
19,barbara_256,24,4,1.718780517578125,62.88652545231796,45.77859938567394
20,barbara_256,32,0,2.4402313232421875,44.294216591734774,44.25649363362882
21,barbara_256,32,1,1.8666534423828125,57.9047681328832,45.42016665324506
22,barbara_256,32,2,2.1163177490234375,51.07367965680089,44.874994865938845
23,barbara_256,32,3,2.786346435546875,38.79206597811682,43.68045248172402
24,barbara_256,32,4,2.3511505126953125,45.97244378102995,44.417999287907364
25,barbara_256,40,0,3.034759521484375,35.61670504711242,43.30956078184861
26,barbara_256,40,1,2.602813720703125,41.527418541664225,43.97637273421603
27,barbara_256,40,2,3.174713134765625,34.04658316430995,43.11375872064117
28,barbara_256,40,3,2.9666900634765625,36.43391539153915,43.40808183864447
29,barbara_256,40,4,2.646636962890625,40.839803978091666,43.9038598731353
30,barbara_256,48,0,3.4397735595703125,31.423037852272778,42.765505069783416
31,barbara_256,48,1,2.984649658203125,36.214680831484344,43.38187000423855
32,barbara_256,48,2,2.5597076416015625,42.2267500432183,44.0488999590366
33,barbara_256,48,3,3.2658538818359375,33.09643930084894,42.99083610881204
34,barbara_256,48,4,3.1528778076171875,34.28237355234311,43.143732212351054
35,barbara_256,56,0,3.36309814453125,32.139453004482675,42.86340819450864
36,barbara_256,56,1,3.071380615234375,35.1920352135767,43.25746721939201
37,barbara_256,56,2,3.2586822509765625,33.16927716202865,43.000383457158094
38,barbara_256,56,3,2.6420745849609375,40.91032682456353,43.911352874153835
39,barbara_256,56,4,3.4714813232421875,31.13602658379742,42.72565527796922
40,barbara_256,64,0,3.5912628173828125,30.097528435525607,42.578331718480825
41,barbara_256,64,1,3.467559814453125,31.17123872387239,42.73056399597604
42,barbara_256,64,2,2.9000244140625,37.27145683377531,43.50678706814474
43,barbara_256,64,3,3.1357879638671875,34.46921029453985,43.16733672045471
44,barbara_256,64,4,3.8511199951171875,28.066675383438927,42.274933100703265
45,barbara_256,72,0,3.7366943359375,28.926137662931627,42.405927871405524
46,barbara_256,72,1,3.586090087890625,30.14094239590159,42.58459165384539
47,barbara_256,72,2,3.39501953125,31.837264490148137,42.82238083786088
48,barbara_256,72,3,4.49395751953125,24.051881731383016,41.6045139806303
49,barbara_256,72,4,3.513641357421875,30.76242671646328,42.673229305275115
50,barbara_256,80,0,3.6580963134765625,29.547645962033396,42.498252251018286
51,barbara_256,80,1,3.542938232421875,30.508049442267108,42.637167799578705
52,barbara_256,80,2,3.6247100830078125,29.81980138834514,42.53807084963689
53,barbara_256,80,3,3.953857421875,27.337388082741587,42.16059356489489
54,barbara_256,80,4,3.9462127685546875,27.390346416929923,42.1689986339875
55,barbara_256,88,0,3.21331787109375,33.63754819837788,43.06126671471511
56,barbara_256,88,1,4.257232666015625,25.389294700396412,41.839529750070774
57,barbara_256,88,2,4.0762939453125,26.516275866199503,42.028148670290335
58,barbara_256,88,3,4.1606597900390625,25.978604408944047,41.939181551324594
59,barbara_256,88,4,3.915496826171875,27.605215778274864,42.2029348459523
60,barbara_256,96,0,4.1696014404296875,25.922893664984503,41.92985816804108
61,barbara_256,96,1,4.660888671875,23.190456235922685,41.44611631195953
62,barbara_256,96,2,4.133544921875,26.149016596775144,41.9675769912272
63,barbara_256,96,3,4.65374755859375,23.226041680328407,41.452775394769795
64,barbara_256,96,4,4.478546142578125,24.134648014009937,41.61943307746964
65,barbara_256,104,0,5.2048797607421875,20.766691976417956,40.966696596533126
66,barbara_256,104,1,5.0234832763671875,21.516571036301062,41.12075400075794
67,barbara_256,104,2,5.2248382568359375,20.68736474745557,40.95007510151974
68,barbara_256,104,3,4.80792236328125,22.48125626801061,41.31122914658329
69,barbara_256,104,4,4.71551513671875,22.921808462444506,41.395512175986006
70,barbara_256,112,0,5.270599365234375,20.50775012014568,40.912203554821495
71,barbara_256,112,1,6.2234649658203125,17.367838552840308,40.19048111780194
72,barbara_256,112,2,5.5440521240234375,19.496233503516038,40.69253056098695
73,barbara_256,112,3,5.1928558349609375,20.814776724191127,40.97674095070473
74,barbara_256,112,4,5.0559234619140625,21.378514841026725,41.09279870023957
75,barbara_256,120,0,20.170867919921875,5.358625875432516,35.08355775261824
76,barbara_256,120,1,19.308181762695312,5.598048334849346,35.27338982355602
77,barbara_256,120,2,6.3146820068359375,17.11695611095136,40.127288755179144
78,barbara_256,120,3,5.26678466796875,20.522603747783663,40.91534798239431
79,barbara_256,120,4,20.0440673828125,5.39252501507299,35.11094506812715
80,barbara_256,128,0,485.8044738769531,0.22249308225391534,21.266188508699248
81,barbara_256,128,1,718.1939697265625,0.15049991968990956,19.56838606590628
82,barbara_256,128,2,207.34425354003906,0.5212979521747523,24.963883572924658
83,barbara_256,128,3,577.2318115234375,0.187252560596682,20.517301036086305
84,barbara_256,128,4,506.37890625,0.21345307522004428,21.086047544787313
