im,L,k,qs,MSE,SNR,PSNR
lena_256,0,0,1,0.0,inf,inf
lena_256,0,1,1,0.0,inf,inf
lena_256,0,2,1,0.0,inf,inf
lena_256,0,3,1,0.0,inf,inf
lena_256,0,4,1,0.0,inf,inf
lena_256,8,0,1,1.415802001953125,74.10953161037226,46.62077838779459
lena_256,8,1,1,2.0891876220703125,50.222594710664126,44.93102916784749
lena_256,8,2,1,1.6145782470703125,64.98565393666185,46.05021263854519
lena_256,8,3,1,1.8240203857421875,57.52371192665155,45.52050673056507
lena_256,8,4,1,1.0347442626953125,101.40130948343239,47.98247333803496
lena_256,16,0,1,2.8155975341796875,37.26541948700162,43.635097846793
lena_256,16,1,1,1.6569366455078125,63.32434224461041,45.93774457778915
lena_256,16,2,1,2.5446014404296875,41.23412867362664,44.0746059218219
lena_256,16,3,1,2.6404266357421875,39.7376779182053,43.91406255748556
lena_256,16,4,1,2.6305999755859375,39.88611882899553,43.93025549119745
lena_256,24,0,1,3.089813232421875,33.9581765385641,43.23148132116212
lena_256,24,1,1,2.1793670654296875,48.144447478417945,44.747499773105204
lena_256,24,2,1,2.477203369140625,42.35599891589568,44.19118698864226
lena_256,24,3,1,3.0791015625,34.076311251189345,43.24656346759817
lena_256,24,4,1,3.8749542236328125,27.07759038232086,42.248137844878
lena_256,32,0,1,3.489471435546875,30.068858609621927,42.703207132812466
lena_256,32,1,1,2.5675048828125,40.86629938667808,44.03569082668114
lena_256,32,2,1,3.947296142578125,26.581340600719006,42.167806506713134
lena_256,32,3,1,2.6232147216796875,39.99841200593316,43.94246519906239
lena_256,32,4,1,2.8973388671875,36.214066779018324,43.51081068445288
lena_256,40,0,1,3.5522003173828125,29.537867756027783,42.625829121281946
lena_256,40,1,1,3.3665771484375,31.166498966605026,42.85891789663296
lena_256,40,2,1,3.9210205078125,26.75946810497805,42.196812471046805
lena_256,40,3,1,3.2688446044921875,32.098320939937544,42.986860854437516
lena_256,40,4,1,2.994354248046875,35.040751536399675,43.367771824723974
lena_256,48,0,1,3.736846923828125,28.07833057027824,42.4057505309009
lena_256,48,1,1,3.9067840576171875,26.8569804909485,42.21260954039613
lena_256,48,2,1,4.405609130859375,23.8160990004364,41.69074397295326
lena_256,48,3,1,2.8861083984375,36.35498350463139,43.52767722274271
lena_256,48,4,1,3.7101287841796875,28.280533997951856,42.43691375973115
lena_256,56,0,1,3.34283447265625,31.387860833683288,42.88965488729963
lena_256,56,1,1,4.2210235595703125,24.857578200405598,41.87662584699565
lena_256,56,2,1,4.01031494140625,26.163636709535044,42.099018805310294
lena_256,56,3,1,4.69354248046875,22.35505988374361,41.41579607921457
lena_256,56,4,1,4.4047698974609375,23.820636641713232,41.69157134810682
lena_256,64,0,1,4.156494140625,25.243491189427314,41.943531882508616
lena_256,64,1,1,4.1404266357421875,25.341452089022543,41.960352670894665
lena_256,64,2,1,4.2923583984375,24.444469328555584,41.80384383835556
lena_256,64,3,1,4.8036041259765625,21.842853920948894,41.315131516849355
lena_256,64,4,1,4.57000732421875,22.959355592654425,41.53163464766279
lena_256,72,0,1,4.1893157958984375,25.045718281849275,41.90937261607965
lena_256,72,1,1,4.06951904296875,25.78300337457818,42.03537275801733
lena_256,72,2,1,3.905426025390625,26.866319458010675,42.21411944835281
lena_256,72,3,1,4.612884521484375,22.745946214151036,41.4910777821062
lena_256,72,4,1,5.999786376953125,17.488026510546742,40.3494457331128
lena_256,80,0,1,4.277313232421875,24.53045113050179,41.819093055769045
lena_256,80,1,1,5.3074951171875,19.769104050231146,40.88190757573821
lena_256,80,2,1,4.757415771484375,22.054919783695016,41.35709252884864
lena_256,80,3,1,4.710174560546875,22.27612201395593,41.40043358351018
lena_256,80,4,1,5.41925048828125,19.36142709119373,40.79141135457264
lena_256,88,0,1,4.76092529296875,22.03866197453944,41.353889941604635
lena_256,88,1,1,5.5121307373046875,19.03518407277096,40.71760851203344
lena_256,88,2,1,6.486785888671875,16.175101971687862,40.01050797592058
lena_256,88,3,1,5.3023529052734375,19.78827609030346,40.88611731451899
lena_256,88,4,1,4.93426513671875,21.264447756763108,41.19857878802925
lena_256,96,0,1,5.53656005859375,18.95119390151139,40.69840345522128
lena_256,96,1,1,3.7683258056640625,27.843776952636247,42.36931916459089
