,im,L,k,MSE,SNR,PSNR
0,fruits_256,0,0,0.0,inf,inf
1,fruits_256,0,1,0.0,inf,inf
2,fruits_256,0,2,0.0,inf,inf
3,fruits_256,0,3,0.0,inf,inf
4,fruits_256,0,4,0.0,inf,inf
5,fruits_256,8,0,1.222900390625,92.63034038730285,47.2568927714617
6,fruits_256,8,1,0.827178955078125,136.94458586976572,48.954808842110154
7,fruits_256,8,2,0.7398834228515625,153.10206438573698,49.439170638405145
8,fruits_256,8,3,0.703216552734375,161.08505836913596,49.6599127599703
9,fruits_256,8,4,1.2367706298828125,91.59150185680974,47.20791197546635
10,fruits_256,16,0,1.936676025390625,58.49077386111155,45.260233845230495
11,fruits_256,16,1,2.0623321533203125,54.9269812144395,44.987217480595504
12,fruits_256,16,2,1.5263214111328125,74.21613732017715,46.2943436435041
13,fruits_256,16,3,1.6577911376953125,68.33048920797091,45.93550547235212
14,fruits_256,16,4,1.8092193603515625,62.61135710008518,45.555891344090725
15,fruits_256,24,0,1.809539794921875,62.60026983725441,45.55512222428977
16,fruits_256,24,1,1.8365325927734375,61.680190097956945,45.49081720734351
17,fruits_256,24,2,2.539337158203125,44.60915285606124,44.08359993107253
18,fruits_256,24,3,2.3510894775390625,48.18093080911988,44.418112030904815
19,fruits_256,24,4,2.0122222900390625,56.29481394978502,45.09404405356385
20,fruits_256,32,0,3.5496978759765625,31.911921352516625,42.62888970173356
21,fruits_256,32,1,3.314483642578125,34.176569160935095,42.926644808106616
22,fruits_256,32,2,2.8756561279296875,39.39194201391284,43.54343409154087
23,fruits_256,32,3,3.9731903076171875,28.510509357225974,42.13940993504819
24,fruits_256,32,4,3.9197998046875,28.898843075581578,42.19816473934115
25,fruits_256,40,0,4.562164306640625,24.829811429297692,41.53909438501947
26,fruits_256,40,1,3.1474609375,35.990178017375115,43.151200119953884
27,fruits_256,40,2,3.4155426025390625,33.16535397894041,42.79620654147682
28,fruits_256,40,3,3.950408935546875,28.674924872727836,42.164383059354016
29,fruits_256,40,4,4.095245361328125,27.660779623378268,42.008004337998884
30,fruits_256,48,0,4.859222412109375,23.311894339527843,41.26513583200005
31,fruits_256,48,1,5.19610595703125,21.800494520338763,40.974023624074874
32,fruits_256,48,2,4.276123046875,26.490743648301457,41.820301671819735
33,fruits_256,48,3,4.5943756103515625,24.65572888471157,41.5085386307927
34,fruits_256,48,4,4.2642974853515625,26.56420660905659,41.83232866598915
35,fruits_256,56,0,5.3756256103515625,21.07246442632211,40.82651346547645
36,fruits_256,56,1,4.04248046875,28.02182479768088,42.06432430578795
37,fruits_256,56,2,5.58831787109375,20.27044310226193,40.657992594644796
38,fruits_256,56,3,5.9142303466796875,19.153410131709645,40.41182125503014
39,fruits_256,56,4,5.8630523681640625,19.320598270356363,40.44956587593379
40,fruits_256,64,0,7.6650238037109375,14.778516328744763,39.285668529750694
41,fruits_256,64,1,6.3558807373046875,17.822499213759095,40.09904621422627
42,fruits_256,64,2,7.4139862060546875,15.278916940909642,39.430285871916176
43,fruits_256,64,3,6.958526611328125,16.278974813281465,39.70563068428217
44,fruits_256,64,4,6.4742584228515625,17.496626184017327,40.01890330401523
45,fruits_256,72,0,6.9916229248046875,16.201914871792635,39.68502363165554
46,fruits_256,72,1,6.24017333984375,18.15297000166277,40.17883707164324
47,fruits_256,72,2,6.4439239501953125,17.578990739008642,40.039299545405655
48,fruits_256,72,3,6.0147552490234375,18.833298239650112,40.33862401039292
49,fruits_256,72,4,7.783721923828125,14.553150864316605,39.218930486518325
50,fruits_256,80,0,8.374237060546875,13.52692533353741,38.9013510999336
51,fruits_256,80,1,8.01068115234375,14.140829885635481,39.094109149301175
52,fruits_256,80,2,6.8809356689453125,16.462540109857212,39.754328632965745
53,fruits_256,80,3,7.9065093994140625,14.327141564108453,39.15095569299133
54,fruits_256,80,4,7.4611053466796875,15.182425951641305,39.40277188837207
55,fruits_256,88,0,8.841964721679688,12.811369758761069,38.66531583074622
56,fruits_256,88,1,9.080795288085938,12.474422762506322,38.54956475551411
57,fruits_256,88,2,8.67041015625,13.064858224925382,38.75040718480187
58,fruits_256,88,3,7.95733642578125,14.235627775689752,39.12312641015741
59,fruits_256,88,4,9.202728271484375,12.309140952728358,38.49163762044344
60,fruits_256,96,0,9.27862548828125,12.208454752961762,38.45596715151998
61,fruits_256,96,1,9.90283203125,11.43891758295942,38.17320948123088
62,fruits_256,96,2,9.537887573242188,11.876600407951045,38.33628161936376
63,fruits_256,96,3,8.664154052734375,13.074291933626153,38.753541952218306
64,fruits_256,96,4,9.698104858398438,11.680393344609213,38.263934853596325
65,fruits_256,104,0,8.428131103515625,13.440426833904835,38.873490782258024
66,fruits_256,104,1,7.9667205810546875,14.218859352584815,39.11800775563036
67,fruits_256,104,2,9.048095703125,12.519505005261596,38.56523175325481
68,fruits_256,104,3,10.397232055664062,10.894984245508832,37.96162623775731
69,fruits_256,104,4,10.325057983398438,10.97114220815975,37.99187861624288
70,fruits_256,112,0,10.341949462890625,10.953223069772932,37.98477949655932
71,fruits_256,112,1,11.292922973632812,10.030855581663385,37.60273994937596
72,fruits_256,112,2,10.293319702148438,11.004970478058297,38.005248990487736
73,fruits_256,112,3,10.134384155273438,11.17755925843952,38.07282998178569
74,fruits_256,112,4,12.92425537109375,8.764735467601097,37.01674830188263
75,fruits_256,120,0,11.292831420898438,10.030936903364063,37.60277515815991
76,fruits_256,120,1,11.3260498046875,10.001516980481338,37.590018938252015
77,fruits_256,120,2,10.801788330078125,10.48693753125415,37.79584698196735
78,fruits_256,120,3,11.286880493164062,10.036225643743316,37.605064341606464
79,fruits_256,120,4,13.5186767578125,8.379346697367827,36.821461770215194
80,fruits_256,128,0,14.188735961914062,7.983634324257183,36.611366538683534
81,fruits_256,128,1,12.053436279296875,9.397957297698289,37.31969484546998
82,fruits_256,128,2,11.991744995117188,9.446304894699137,37.34197976217062
83,fruits_256,128,3,11.38800048828125,9.94710876241418,37.56632883771826
84,fruits_256,128,4,12.019699096679688,9.424335711919037,37.33186765271683
