im,L,k,qs,MSE,SNR,PSNR
airplane_256,64,0,0.25,5.1837921142578125,22.415771579954374,40.98432784178406
airplane_256,64,1,0.25,5.057281494140625,22.97651417778502,41.091632332291226
airplane_256,64,2,0.25,4.0128021240234375,28.956997220352648,42.0963261617606
airplane_256,64,3,0.25,4.489013671875,25.88512943927775,41.60929432763912
airplane_256,64,4,0.25,5.1080474853515625,22.748163615235946,41.048254349761606
arctichare_256,64,0,0.25,3.9330596923828125,16.153733943210078,42.18349823083707
arctichare_256,64,1,0.25,3.9110107421875,16.24480320858953,42.20791352058109
arctichare_256,64,2,0.25,3.735321044921875,17.008872621508345,42.40752426190112
arctichare_256,64,3,0.25,3.9798431396484375,15.963845213037194,42.13214405610202
arctichare_256,64,4,0.25,3.886962890625,16.345306513409962,42.23469966486637
baboon_256,64,0,0.25,4.399871826171875,22.521577943471474,41.69640335744694
baboon_256,64,1,0.25,4.275543212890625,23.176483394122812,41.820890606636816
baboon_256,64,2,0.25,4.943939208984375,20.04313809003537,41.19007238869059
baboon_256,64,3,0.25,4.674530029296875,21.198292802350252,41.43342406823636
baboon_256,64,4,0.25,5.120391845703125,19.352436153410615,41.037771635805655
barbara_256,64,0,0.25,4.8893585205078125,22.106813053749818,41.238284770568384
barbara_256,64,1,0.25,5.0519561767578125,21.395303320899465,41.09620786259916
barbara_256,64,2,0.25,4.700836181640625,22.99338470627187,41.40905244044508
barbara_256,64,3,0.25,4.124359130859375,26.2072558029405,41.977238861769486
barbara_256,64,4,0.25,4.6226348876953125,23.38236468844591,41.48190768213109
boat_256,64,0,0.25,5.090789794921875,20.98425801037077,41.06295196022721
boat_256,64,1,0.25,3.73138427734375,28.62917314140836,42.41210383621228
boat_256,64,2,0.25,4.4374847412109375,24.07364819558826,41.65943488172486
boat_256,64,3,0.25,4.472503662109375,23.885155743577496,41.625296560257624
boat_256,64,4,0.25,3.857391357421875,27.69396118640179,42.26786657768919
fruits_256,64,0,0.25,4.6025238037109375,24.612078997185304,41.50084317566149
fruits_256,64,1,0.25,4.03668212890625,28.06207569136792,42.07055808905511
fruits_256,64,2,0.25,4.09100341796875,27.689460963492323,42.01250518523204
fruits_256,64,3,0.25,4.046844482421875,27.991606777922733,42.059638458076435
fruits_256,64,4,0.25,4.5339813232421875,24.984152198129497,41.566006340561415
lena_256,64,0,0.25,5.688262939453125,18.445775860681465,40.58100697458043
lena_256,64,1,0.25,4.564910888671875,22.984988267383326,41.5364805674914
lena_256,64,2,0.25,4.1235809326171875,25.444977298209388,41.978058380827115
lena_256,64,3,0.25,4.481658935546875,23.411960777637805,41.616415582106015
lena_256,64,4,0.25,5.0128631591796875,20.931036791944553,41.12994511436245
monarch_256,64,0,0.25,4.42047119140625,25.221460131170176,41.67611796287847
monarch_256,64,1,0.25,4.61676025390625,24.14912877936569,41.48743038430477
monarch_256,64,2,0.25,3.9153289794921875,28.47544574134336,42.203121020153105
monarch_256,64,3,0.25,4.217926025390625,26.43259678901406,41.879814021183954
monarch_256,64,4,0.25,4.3936309814453125,25.375535265905167,41.702567828969876
peppers_256,64,0,0.25,5.067138671875,21.880884124307396,41.08317571121147
peppers_256,64,1,0.25,4.1963653564453125,26.42131099257126,41.902070678619936
peppers_256,64,2,0.25,4.64508056640625,23.869009920504567,41.46087109870387
peppers_256,64,3,0.25,4.9016265869140625,22.61973084957025,41.2274013788081
peppers_256,64,4,0.25,4.298980712890625,25.79064236986136,41.79714864181693
zelda_256,64,0,0.25,4.6004638671875,22.602432536418394,41.50278736837832
zelda_256,64,1,0.25,3.6669769287109375,28.356238998997167,42.48772183322102
zelda_256,64,2,0.25,4.433868408203125,23.451682508655164,41.66297561227759
zelda_256,64,3,0.25,4.252410888671875,24.452405215906072,41.84445139338994
zelda_256,64,4,0.25,4.3560943603515625,23.87039067398531,41.73983082131248
