,im,L,k,MSE,SNR,PSNR
0,peppers_256,0,0,0.0,inf,inf
1,peppers_256,0,1,0.0,inf,inf
2,peppers_256,0,2,0.0,inf,inf
3,peppers_256,0,3,0.0,inf,inf
4,peppers_256,0,4,0.0,inf,inf
5,peppers_256,8,0,2.2617645263671875,49.02078568681819,44.58632972578478
6,peppers_256,8,1,1.3479156494140625,82.25549882835053,46.83417645330489
7,peppers_256,8,2,0.5535736083984375,200.28677747457206,50.69904983899234
8,peppers_256,8,3,1.6600189208984375,66.7904881837652,45.92967322710413
9,peppers_256,8,4,1.3679656982421875,81.04989347581176,46.770051532871086
10,peppers_256,16,0,1.8192138671875,60.945816278601626,45.53196603047087
11,peppers_256,16,1,1.60211181640625,69.2045792220656,46.083875372885046
12,peppers_256,16,2,2.42120361328125,45.79270967254027,44.29049047507895
13,peppers_256,16,3,1.13232421875,97.91672056921087,47.59109564533716
14,peppers_256,16,4,1.98760986328125,55.782312298479965,45.14749217653546
15,peppers_256,24,0,2.162750244140625,51.26503831012149,44.78073991153398
16,peppers_256,24,1,2.5701141357421875,43.13951375901683,44.031279506018436
17,peppers_256,24,2,1.330291748046875,83.34523181390654,46.89133463756483
18,peppers_256,24,3,1.8461456298828125,60.056732430220926,45.4681440428641
19,peppers_256,24,4,2.159454345703125,51.34328231653029,44.78736334062906
20,peppers_256,32,0,2.8995819091796875,38.237745162529535,43.50744979391777
21,peppers_256,32,1,2.7369537353515625,40.50980938735233,43.758129045799436
22,peppers_256,32,2,2.533599853515625,43.76124113176184,44.09342335613527
23,peppers_256,32,3,2.54541015625,43.55819585651256,44.07322588244685
24,peppers_256,32,4,1.7963409423828125,61.72184327882778,45.586915923768494
25,peppers_256,40,0,2.048492431640625,54.124424581005584,45.016459971200156
26,peppers_256,40,1,2.9381866455078125,37.73534070431093,43.45000980394115
27,peppers_256,40,2,2.57855224609375,42.998343077614976,44.01704425450815
28,peppers_256,40,3,3.1787872314453125,34.87917436697468,43.10818900993918
29,peppers_256,40,4,2.80108642578125,39.5823110278256,43.657538519512194
30,peppers_256,48,0,3.0434112548828125,36.43065784921761,43.297197185136014
31,peppers_256,48,1,3.5873260498046875,30.9069966269529,42.58309509646149
32,peppers_256,48,2,2.8037261962890625,39.545043402541566,43.65344761433085
33,peppers_256,48,3,2.4069671630859375,46.06355908027614,44.31610195390494
34,peppers_256,48,4,3.78155517578125,29.319544200009684,42.35409919401018
35,peppers_256,56,0,4.232818603515625,26.19376933115118,41.86450703586958
36,peppers_256,56,1,3.53564453125,31.358772959535976,42.64611765691137
37,peppers_256,56,2,3.2108154296875,34.531251188077405,43.064650195406145
38,peppers_256,56,3,3.556488037109375,31.17498863041557,42.62059008659606
39,peppers_256,56,4,3.246795654296875,34.14858399676665,43.01625404857846
40,peppers_256,64,0,3.8826446533203125,28.556173438709703,42.23952715921655
41,peppers_256,64,1,3.9447784423828125,28.10638816362054,42.17057744691962
42,peppers_256,64,2,3.1467132568359375,35.234692541569075,43.15223191087078
43,peppers_256,64,3,4.1490478515625,26.722630851157728,41.951319172296564
44,peppers_256,64,4,3.90643310546875,28.382278955673954,42.21299969103036
45,peppers_256,72,0,3.5330047607421875,31.382203430091693,42.6493613821861
46,peppers_256,72,1,4.07513427734375,27.20731798643042,42.029384373750666
47,peppers_256,72,2,2.8079376220703125,39.48573260660468,43.64692905092322
48,peppers_256,72,3,3.8258209228515625,28.980309417737875,42.30355722943892
49,peppers_256,72,4,4.2788543701171875,25.911953184342003,41.817528552511845
50,peppers_256,80,0,4.0024871826171875,27.701144079265898,42.10750411039232
51,peppers_256,80,1,3.677886962890625,30.145971107810517,42.474819834773356
52,peppers_256,80,2,4.7679443359375,23.253936352697202,41.34749184340491
53,peppers_256,80,3,3.5865631103515625,30.913571212810947,42.58401883639773
54,peppers_256,80,4,4.3741455078125,25.347459046130663,41.72187134935164
55,peppers_256,88,0,3.63482666015625,30.503098080701225,42.52596656080727
56,peppers_256,88,1,4.4947967529296875,24.667071775565145,41.603703024130695
57,peppers_256,88,2,4.50909423828125,24.58885715445944,41.589910488840616
58,peppers_256,88,3,4.79315185546875,23.13164228139206,41.32459172446244
59,peppers_256,88,4,3.748992919921875,29.57420205621627,42.391657406228774
60,peppers_256,96,0,4.803619384765625,23.08123630126108,41.31511772137997
61,peppers_256,96,1,3.9615020751953125,27.987735968970153,42.15220473104198
62,peppers_256,96,2,3.5651397705078125,31.099334460399323,42.6100379992817
63,peppers_256,96,3,4.577667236328125,24.22051852987647,41.52436141485052
64,peppers_256,96,4,4.3729248046875,25.35453479608073,41.723083514375425
65,peppers_256,104,0,5.393157958984375,20.55817295994296,40.81237220440557
66,peppers_256,104,1,5.1193695068359375,21.657642405582067,41.03863883595777
67,peppers_256,104,2,4.389984130859375,25.25600795267325,41.706174105330014
68,peppers_256,104,3,5.1090545654296875,21.701368169233664,41.04739819834019
69,peppers_256,104,4,4.573760986328125,24.241204219572573,41.52806895182003
70,peppers_256,112,0,4.952880859375,22.385653374081926,41.18222479632542
71,peppers_256,112,1,4.2216644287109375,26.262976603980903,41.87596651685739
72,peppers_256,112,2,4.9522857666015625,22.38834335224139,41.18274663612438
73,peppers_256,112,3,3.8791351318359375,28.58200870888944,42.243454521138275
74,peppers_256,112,4,5.023529052734375,22.07083366239194,41.120714425960934
75,peppers_256,120,0,5.1195068359375,21.657061446386418,41.03852233631656
76,peppers_256,120,1,5.1717376708984375,21.43834068479207,40.99443873076147
77,peppers_256,120,2,3.5435333251953125,31.288960465747174,42.63643839424283
78,peppers_256,120,3,5.1141815185546875,21.679612606403452,41.04304222412705
79,peppers_256,120,4,3.9793243408203125,27.862386833800507,42.132710224533945
