im,L,k,qs,MSE,SNR,PSNR
airplane_256,64,0,1.2,4.2506256103515625,27.336846526354332,41.84627506316873
airplane_256,64,1,1.2,5.670654296875,20.491233263012873,40.5944718890124
airplane_256,64,2,1.2,6.167022705078125,18.841944566782626,40.23004813500145
airplane_256,64,3,1.2,5.0335693359375,23.084752031041592,41.11204305600516
airplane_256,64,4,1.2,6.32171630859375,18.380878590393436,40.12245358193316
arctichare_256,64,0,1.2,4.6173553466796875,13.759738006563055,41.4868706219642
arctichare_256,64,1,1.2,4.0789947509765625,15.57579838471351,42.02527214419014
arctichare_256,64,2,1.2,4.1648712158203125,15.254637313197703,41.93478783966235
arctichare_256,64,3,1.2,3.48504638671875,18.230345540202105,42.70871797842227
arctichare_256,64,4,1.2,3.8950958251953125,16.311177620470954,42.2256221443272
baboon_256,64,0,1.2,4.6258087158203125,21.42156374419855,41.47892690795026
baboon_256,64,1,1.2,5.6583404541015625,17.512565226184858,40.60391286094521
baboon_256,64,2,1.2,4.348846435546875,22.785825561567126,41.74706288537617
baboon_256,64,3,1.2,4.84381103515625,20.457457063293052,41.27893168591294
baboon_256,64,4,1.2,5.0548553466796875,19.603341634593615,41.09371628841519
barbara_256,64,0,1.2,6.3958282470703125,16.899786953337294,40.07183568137543
barbara_256,64,1,1.2,5.26251220703125,20.539265376184456,40.9188724462463
barbara_256,64,2,1.2,4.1731414794921875,25.90090350322314,41.926172522833994
barbara_256,64,3,1.2,5.349395751953125,20.205671776323673,40.8477563238182
barbara_256,64,4,1.2,4.87786865234375,22.158885871945344,41.248502590948576
boat_256,64,0,1.2,5.347412109375,19.977223439711455,40.84936705675234
boat_256,64,1,1.2,5.546630859375,19.259700030811214,40.6905109729141
boat_256,64,2,1.2,4.8663330078125,21.95214473849241,41.258785360702895
boat_256,64,3,1.2,5.4886016845703125,19.463326485052864,40.73618646295066
boat_256,64,4,1.2,5.099090576171875,20.950097853214192,41.05587634371655
fruits_256,64,0,1.2,5.3056182861328125,21.350514366898757,40.883443595090945
fruits_256,64,1,1.2,5.6977691650390625,19.881058035558866,40.573755102748194
fruits_256,64,2,1.2,5.6140289306640625,20.17760878014574,40.63805714522574
fruits_256,64,3,1.2,5.138641357421875,22.044285943355327,41.02232052956605
fruits_256,64,4,1.2,5.098846435546875,22.216334787735143,41.056084285629
lena_256,64,0,1.2,5.0542449951171875,20.759663079082827,41.09424071157249
lena_256,64,1,1.2,4.1180877685546875,25.47891864252287,41.98384762395324
lena_256,64,2,1.2,4.51611328125,23.233346172559195,41.583155337255334
lena_256,64,3,1.2,5.1001434326171875,20.572837725846167,41.054979708252226
lena_256,64,4,1.2,4.82220458984375,21.75860050375283,41.29834728788459
monarch_256,64,0,1.2,4.6778106689453125,23.83395690962765,41.43037720798857
monarch_256,64,1,1.2,5.6609344482421875,19.69475868947021,40.60192234941368
monarch_256,64,2,1.2,4.302215576171875,25.91472601525093,41.79388192567237
monarch_256,64,3,1.2,4.99798583984375,22.307133610951677,41.14285339506938
monarch_256,64,4,1.2,6.036346435546875,18.469903791222404,40.32306204196295
peppers_256,64,0,1.2,4.5583648681640625,24.323080167505196,41.54271276116525
peppers_256,64,1,1.2,5.0035247802734375,22.159073651082153,41.13804305870819
peppers_256,64,2,1.2,5.0079345703125,22.139561243144424,41.13421714774535
peppers_256,64,3,1.2,5.692840576171875,19.475949244946204,40.577513389847475
peppers_256,64,4,1.2,5.2953948974609375,20.937715933944023,40.8918200824815
zelda_256,64,0,1.2,5.3175506591796875,19.55443038701143,40.873687248418236
zelda_256,64,1,1.2,3.604278564453125,28.849511028322254,42.562620118767384
zelda_256,64,2,1.2,5.073211669921875,20.49622230643832,41.07797378077159
zelda_256,64,3,1.2,4.310455322265625,24.123130022301673,41.785572128642485
zelda_256,64,4,1.2,4.15960693359375,24.997956743114553,41.940280674134144
