,im,L,k,MSE,SNR,PSNR
0,boat_256,0,0,0.0,inf,inf
1,boat_256,0,1,0.0,inf,inf
2,boat_256,0,2,0.0,inf,inf
3,boat_256,0,3,0.0,inf,inf
4,boat_256,0,4,0.0,inf,inf
5,boat_256,8,0,0.7310015559196472,146.13709870809856,49.49162059523459
6,boat_256,8,1,0.6989881992340088,152.83011451447913,49.68610517097642
7,boat_256,8,2,0.4357912540435791,245.13214880287728,51.73801850787703
8,boat_256,8,3,1.1799606084823608,90.53390915362922,47.41212851701021
9,boat_256,8,4,0.8374246954917908,127.56543616195557,48.901345968638445
10,boat_256,16,0,1.5829147100448608,67.48717783422178,46.13622845850642
11,boat_256,16,1,1.9693434238433838,54.24470168068498,45.187589037064924
12,boat_256,16,2,1.7731428146362305,60.24695002084146,45.64336644381154
13,boat_256,16,3,1.4474761486053467,73.80186999014191,46.524689446787484
14,boat_256,16,4,1.6770422458648682,63.69931753156976,45.885363579428585
15,boat_256,24,0,2.5727858543395996,41.521701603347815,44.02676721625713
16,boat_256,24,1,2.1908555030822754,48.760151631593644,44.724666260655056
17,boat_256,24,2,1.8310987949371338,58.34007800593345,45.50368584049261
18,boat_256,24,3,2.7510645389556885,38.83094890015003,43.735795819709395
19,boat_256,24,4,2.736032247543335,39.04429365886381,43.75959149088986
20,boat_256,32,0,3.321031332015991,32.16664820453695,42.918073879321376
21,boat_256,32,1,2.638336658477783,40.49007399792481,43.91750149039491
22,boat_256,32,2,2.0647780895233154,51.73749521812564,44.98206977841207
23,boat_256,32,3,2.5558969974517822,41.79606871470509,44.05537013079388
24,boat_256,32,4,3.1708641052246094,33.69001098381541,43.11902731144745
25,boat_256,40,0,3.944714069366455,27.08090996069586,42.17064831800732
26,boat_256,40,1,2.8743793964385986,37.165047406602895,43.545362696845004
27,boat_256,40,2,3.93823504447937,27.12546237760815,42.17778728427373
28,boat_256,40,3,3.0475995540618896,35.052651976806835,43.29122459514802
29,boat_256,40,4,3.969452381134033,26.912137059743205,42.14349764496756
30,boat_256,48,0,5.144554138183594,20.76495720791865,41.01732619032275
31,boat_256,48,1,4.504080772399902,23.717702219687983,41.59474190682474
32,boat_256,48,2,4.636659622192383,23.039527426576907,41.4687514541838
33,boat_256,48,3,4.79476261138916,22.27981970983395,41.32313250740971
34,boat_256,48,4,3.8891985416412354,27.467470582800985,42.232202466383484
35,boat_256,56,0,4.5179243087768555,23.64502794472987,41.581414101923535
36,boat_256,56,1,4.732698917388916,22.571992936356175,41.37971484262956
37,boat_256,56,2,6.414103984832764,16.654929010476344,40.05944364478325
38,boat_256,56,3,5.131701469421387,20.81696434793743,41.028189769908224
39,boat_256,56,4,4.130830764770508,25.86076569494562,41.97042958055897
40,boat_256,64,0,6.030569553375244,17.71415545210212,40.32722030119623
41,boat_256,64,1,5.523312568664551,19.3410105267738,40.708807398775946
42,boat_256,64,2,6.796503067016602,15.717854531932955,39.807948436515694
43,boat_256,64,3,5.98702335357666,17.842998135189298,40.35869408666823
44,boat_256,64,4,6.320297718048096,16.90212254213152,40.12342824632974
45,boat_256,72,0,6.150102138519287,17.36986543103541,40.24198032437702
46,boat_256,72,1,7.489526271820068,14.26344506396166,39.38626012332796
47,boat_256,72,2,5.979909896850586,17.86422343745764,40.3638572062455
48,boat_256,72,3,8.177813529968262,13.062959450191538,39.004431572943844
49,boat_256,72,4,6.315691947937012,16.91444855351082,40.126594220164186
50,boat_256,80,0,7.259641647338867,14.715112910891682,39.521651774163544
51,boat_256,80,1,7.64407205581665,13.975070584521117,39.29755588647145
52,boat_256,80,2,7.987778663635254,13.373736433075651,39.10654338531742
53,boat_256,80,3,8.192038536071777,13.040276368673949,38.99688374271803
54,boat_256,80,4,7.01838493347168,15.220944354837615,39.66843176826354
55,boat_256,88,0,7.55027437210083,14.148684043581206,39.351176269706045
56,boat_256,88,1,8.035760879516602,13.293880708360422,39.0805335591907
57,boat_256,88,2,8.072598457336426,13.233216924857524,39.06067010279714
58,boat_256,88,3,8.826105117797852,12.103464111002651,38.673112653334755
59,boat_256,88,4,9.279541015625,11.512039911599885,38.455538651782504
60,boat_256,96,0,9.914353370666504,10.77492828218827,38.16815966755149
61,boat_256,96,1,6.489418029785156,16.46163739843707,40.00874609797238
62,boat_256,96,2,8.58003044128418,12.450590620190658,38.7959153217325
63,boat_256,96,3,8.19691276550293,13.032522071332387,38.994300476749466
64,boat_256,96,4,8.364428520202637,12.771517656607955,38.906440866993044
65,boat_256,104,0,9.860382080078125,10.833905386793766,38.19186617117914
66,boat_256,104,1,9.09519100189209,11.74537692622176,38.54268537050952
67,boat_256,104,2,9.327091217041016,11.453350680009047,38.433341367732396
68,boat_256,104,3,10.729692459106445,9.956151766730088,37.824930867330075
69,boat_256,104,4,9.31010627746582,11.47424565837297,38.441257222653526
70,boat_256,112,0,9.528393745422363,11.211380363508251,38.340606655070665
71,boat_256,112,1,10.465805053710938,10.207188647692696,37.93307719981379
72,boat_256,112,2,11.83576774597168,9.025730212521418,37.398839264841264
73,boat_256,112,3,9.78456974029541,10.917848139327369,38.2253862781041
74,boat_256,112,4,10.18225383758545,10.491434238152447,38.05236441326232
75,boat_256,120,0,10.612348556518555,10.066239905735642,37.872688551695035
76,boat_256,120,1,11.752120018005371,9.089972393877428,37.42964142849894
77,boat_256,120,2,9.851818084716797,10.84332309169653,38.195639769388755
