,im,L,k,MSE,SNR,PSNR
0,airplane_256,0,0,0.0,inf,inf
1,airplane_256,0,1,0.0,inf,inf
2,airplane_256,0,2,0.0,inf,inf
3,airplane_256,0,3,0.0,inf,inf
4,airplane_256,0,4,0.0,inf,inf
5,airplane_256,8,0,1.271026611328125,91.42113856275061,47.08925717448462
6,airplane_256,8,1,1.029052734375,112.91811981020166,48.00642729874924
7,airplane_256,8,2,1.353973388671875,85.82051975567427,46.814702321661514
8,airplane_256,8,3,1.045623779296875,111.12859352654466,47.93704909573936
9,airplane_256,8,4,1.2846832275390625,90.44930101077287,47.04284306734819
10,airplane_256,16,0,2.3111114501953125,50.27827625593387,44.492594716251716
11,airplane_256,16,1,2.152435302734375,53.98475847499681,44.80150254441511
12,airplane_256,16,2,1.9923858642578125,58.32138344068069,45.13706909064645
13,airplane_256,16,3,1.862457275390625,62.389994920447656,45.429940420112935
14,airplane_256,16,4,1.92486572265625,60.367171893331644,45.28679922058938
15,airplane_256,24,0,2.9613189697265625,39.23883281033426,43.415951722116844
16,airplane_256,24,1,2.36358642578125,49.16202711426727,44.39508873732404
17,airplane_256,24,2,2.48883056640625,46.68807170708978,44.17085028975858
18,airplane_256,24,3,2.3204498291015625,50.07593721436415,44.47508177977069
19,airplane_256,24,4,2.48052978515625,46.84430747274919,44.1853591463929
20,airplane_256,32,0,3.1585235595703125,36.78892930815422,43.135962402032284
21,airplane_256,32,1,2.540252685546875,45.74296904095436,44.08203441696624
22,airplane_256,32,2,2.1410980224609375,54.27061196274204,44.82443810509763
23,airplane_256,32,3,2.99993896484375,38.73368802262416,43.35967941981985
24,airplane_256,32,4,2.367034912109375,49.090403929708756,44.388756973517395
25,airplane_256,40,0,2.93475341796875,39.59402491525071,43.45508743772957
26,airplane_256,40,1,3.152191162109375,36.862834128820516,43.14467813810596
27,airplane_256,40,2,3.05072021484375,38.08894023968149,43.28677981059387
28,airplane_256,40,3,2.870391845703125,40.481824850888295,43.55139173259196
29,airplane_256,40,4,3.0055084228515625,38.661911265224475,43.351624114636806
30,airplane_256,48,0,3.05865478515625,37.99013230099974,43.275498977315564
31,airplane_256,48,1,3.055450439453125,38.029973731784544,43.280051171735735
32,airplane_256,48,2,2.90643310546875,39.97982947982948,43.49720029192266
33,airplane_256,48,3,3.616302490234375,32.13190828614587,42.54815610429306
34,airplane_256,48,4,3.04730224609375,38.131662226851205,43.291648290932876
35,airplane_256,56,0,3.548492431640625,32.74593427763014,42.63036477581775
36,airplane_256,56,1,3.046417236328125,38.14273979464062,43.292909769612535
37,airplane_256,56,2,2.6520843505859375,43.81410415000546,43.89493028008686
38,airplane_256,56,3,4.0743865966796875,28.519311359865778,42.0301812637582
39,airplane_256,56,4,3.794219970703125,30.625188009233565,42.33957855271185
40,airplane_256,64,0,4.4822235107421875,25.924343057120584,41.615868515823664
41,airplane_256,64,1,3.3968048095703125,34.20823581731525,42.82009769123598
42,airplane_256,64,2,3.7916717529296875,30.64576986691671,42.342496276822956
43,airplane_256,64,3,3.4028167724609375,34.14779805118225,42.812417960951954
44,airplane_256,64,4,3.933074951171875,29.543983115945966,42.1834813818809
45,airplane_256,72,0,3.261566162109375,35.62665730994152,42.99654168091399
46,airplane_256,72,1,2.8127288818359375,41.31173135866764,43.639524882111075
47,airplane_256,72,2,4.150543212890625,27.99602220506599,41.94975421042016
48,airplane_256,72,3,4.358154296875,26.662364853509608,41.737777588458904
49,airplane_256,72,4,3.7614288330078125,30.892170265588682,42.37727511574165
50,airplane_256,80,0,4.618499755859375,25.15940372276809,41.4857943586647
51,airplane_256,80,1,3.949615478515625,29.42025637261341,42.16525544656043
52,airplane_256,80,2,3.919708251953125,29.64473182239316,42.198266176439134
53,airplane_256,80,3,4.0296630859375,28.83583502468874,42.07811623916588
54,airplane_256,80,4,3.903076171875,29.771056170638644,42.216733338751105
55,airplane_256,88,0,4.480499267578125,25.934319595142252,41.61753950201696
56,airplane_256,88,1,4.6356201171875,25.06648452929559,41.46972521964842
57,airplane_256,88,2,3.8805999755859375,29.943488296194936,42.2418148425765
58,airplane_256,88,3,3.92132568359375,29.63250424144318,42.19647446975322
59,airplane_256,88,4,4.251251220703125,27.3328236603137,41.84563591223914
60,airplane_256,96,0,4.4523468017578125,26.098303911388022,41.644913758647704
61,airplane_256,96,1,4.68212890625,24.817492699968714,41.42636994543956
62,airplane_256,96,2,3.9495391845703125,29.42082468889687,42.165339339181514
63,airplane_256,96,3,4.321563720703125,26.88811445600209,41.774394398882364
64,airplane_256,96,4,4.638641357421875,25.050158224725163,41.46689565092793
65,airplane_256,104,0,4.1517333984375,27.98799653053424,41.94850903143326
66,airplane_256,104,1,4.5773468017578125,25.38560108806891,41.52466542960173
67,airplane_256,104,2,4.8529510498046875,23.9439258213512,41.27074450122773
68,airplane_256,104,3,5.538787841796875,20.979084823273368,40.69665630655608
69,airplane_256,104,4,4.2490386962890625,27.34705618300325,41.84789674610525
70,airplane_256,112,0,5.45526123046875,21.300299846720147,40.762648088336164
71,airplane_256,112,1,4.9998931884765625,23.240236455246542,41.141196341620336
72,airplane_256,112,2,5.090972900390625,22.824458551381422,41.0627957560471
73,airplane_256,112,3,3.421630859375,33.960033892258295,42.7884720673938
74,airplane_256,112,4,5.1000213623046875,22.783963379059642,41.05508365650049
75,airplane_256,120,0,5.30206298828125,21.9157524548458,40.886354780403416
76,airplane_256,120,1,5.370697021484375,21.63568331751777,40.830497077679425
77,airplane_256,120,2,4.6696929931640625,24.88358445004297,41.4379203185588
78,airplane_256,120,3,5.153228759765625,22.5487175842853,41.010009389776236
79,airplane_256,120,4,4.40020751953125,26.40754997017741,41.69607202003978
80,airplane_256,128,0,5.1236724853515625,22.678791488601338,41.03498999816829
81,airplane_256,128,1,4.7584991455078125,24.419191093239444,41.35610365207461
82,airplane_256,128,2,5.43603515625,21.375634375280697,40.77798104103258
83,airplane_256,128,3,6.151611328125,18.889148509743222,40.24091472855904
84,airplane_256,128,4,4.7195892333984375,24.62051127858443,41.3917615914725
85,arctichare_256,0,0,0.0,inf,inf
86,arctichare_256,0,1,0.0,inf,inf
87,arctichare_256,0,2,0.0,inf,inf
88,arctichare_256,0,3,0.0,inf,inf
89,arctichare_256,0,4,0.0,inf,inf
90,arctichare_256,8,0,3364.040771484375,0.018886096860675553,12.862191101500677
91,arctichare_256,8,1,5344.8681640625,0.011886841340764771,10.851433634515132
92,arctichare_256,8,2,8923.2421875,0.007120012941318099,8.625576804485998
93,arctichare_256,8,3,3973.76318359375,0.015988270291451483,12.138783791014145
94,arctichare_256,8,4,7003.359375,0.009071874860557992,9.677739482747512
95,arctichare_256,16,0,3852.15771484375,0.016492990307405586,12.273763011889901
96,arctichare_256,16,1,5012.99462890625,0.01267378175256046,11.129831215725561
97,arctichare_256,16,2,8260.1630859375,0.007691567247828108,8.96091738895769
98,arctichare_256,16,3,4937.57275390625,0.01286737492693195,11.195668529650927
99,arctichare_256,16,4,4677.9189453125,0.013581594849389032,11.43027668385901
100,arctichare_256,24,0,5052.720703125,0.012574136507133958,11.095550682588122
101,arctichare_256,24,1,4123.2763671875,0.015408523270258524,11.978379160199779
102,arctichare_256,24,2,6873.95263671875,0.009242658949108369,9.75873825455787
103,arctichare_256,24,3,3965.263427734375,0.016022542010485467,12.148083163993707
104,arctichare_256,24,4,8504.9560546875,0.007470185553574863,8.83408286923559
105,arctichare_256,32,0,5934.9453125,0.010705001732653392,10.396636393614456
106,arctichare_256,32,1,4956.53271484375,0.01281815404208796,11.179023838491329
107,arctichare_256,32,2,4970.361328125,0.012782491183087245,11.166923992760607
108,arctichare_256,32,3,3621.397705078125,0.017543944362814746,12.542041388301545
