im,L,k,qs,MSE,SNR,PSNR
airplane_256,128,0,1.5,13.755996704101562,8.447130546093067,36.745882977736684
airplane_256,128,1,1.5,13.8995361328125,8.359897685856058,36.70080054018232
airplane_256,128,2,1.5,14.892425537109375,7.802536911238844,36.401149235862576
airplane_256,128,3,1.5,15.105545043945312,7.69245330857805,36.33943960599407
airplane_256,128,4,1.5,15.074447631835938,7.708322240993442,36.3483895347799
arctichare_256,128,0,1.5,14.753860473632812,4.306235643685186,36.44174688822808
arctichare_256,128,1,1.5,15.274185180664062,4.159541023107685,36.29122309284253
arctichare_256,128,2,1.5,11.704696655273438,5.4280432654263775,37.44720198080716
arctichare_256,128,3,1.5,12.931594848632812,4.9130521484156064,37.01428271312512
arctichare_256,128,4,1.5,13.920608520507812,4.5639958741687225,36.69422140584579
baboon_256,128,0,1.5,14.9202880859375,6.641430494080686,36.393031521464685
baboon_256,128,1,1.5,14.233657836914062,6.961812445527901,36.59763839262223
baboon_256,128,2,1.5,14.532211303710938,6.8187871896075425,36.50748656829415
baboon_256,128,3,1.5,15.832977294921875,6.258586393994006,36.13517771894662
baboon_256,128,4,1.5,15.681686401367188,6.318966834190412,36.17687596178551
barbara_256,128,0,1.5,14.481399536132812,7.463928779530753,36.52269825149861
barbara_256,128,1,1.5,12.155776977539062,8.891914927803112,37.282976374028024
barbara_256,128,2,1.5,15.6812744140625,6.8928157183892385,36.17699006058766
barbara_256,128,3,1.5,15.136642456054688,7.140826314648764,36.33050808327231
barbara_256,128,4,1.5,10.82763671875,9.98261555806088,37.7854668466794
boat_256,128,0,1.5,12.090194702148438,8.835792074896856,37.3064706601311
boat_256,128,1,1.5,17.169235229492188,6.221968835845621,35.783294100872226
boat_256,128,2,1.5,15.283477783203125,6.9896687160174835,36.28858170882411
boat_256,128,3,1.5,12.78076171875,8.35837870105062,37.065236228208235
boat_256,128,4,1.5,15.655319213867188,6.8236517616694945,36.18418433507267
fruits_256,128,0,1.5,14.379608154296875,7.877661075869446,36.55333309226142
fruits_256,128,1,1.5,13.294692993164062,8.520518638648152,36.89402048001695
fruits_256,128,2,1.5,15.064605712890625,7.519458630532152,36.35122591533394
fruits_256,128,3,1.5,14.3736572265625,7.880922555605568,36.55513076990248
fruits_256,128,4,1.5,13.594375610351562,8.33268718550803,36.797210956311275
lena_256,128,0,1.5,13.384109497070312,7.839477347427609,36.86490879881676
lena_256,128,1,1.5,14.948974609375,7.018837476115039,36.38468956619688
lena_256,128,2,1.5,13.530380249023438,7.754728343672856,36.81770358968579
lena_256,128,3,1.5,14.703170776367188,7.1361765984804695,36.45669359304313
lena_256,128,4,1.5,11.937347412109375,8.789592829587665,37.3617252756427
monarch_256,128,0,1.5,12.673812866210938,8.796937361469123,37.10173070558725
monarch_256,128,1,1.5,13.203842163085938,8.443810259011912,36.92380036675141
monarch_256,128,2,1.5,14.001113891601562,7.962990571908406,36.6691777249451
monarch_256,128,3,1.5,13.744094848632812,8.111901085005213,36.749642172841405
monarch_256,128,4,1.5,13.542037963867188,8.23293644667946,36.81396333899865
peppers_256,128,0,1.5,14.760635375976562,7.511429643573752,36.43975308642303
peppers_256,128,1,1.5,13.791183471679688,8.039445951014528,36.734788247017555
peppers_256,128,2,1.5,15.151702880859375,7.317558626440358,36.32618915475107
peppers_256,128,3,1.5,12.761383056640625,8.688202025516244,37.07182615846631
peppers_256,128,4,1.5,14.516586303710938,7.637709844548693,36.51215860465578
zelda_256,128,0,1.5,14.935104370117188,6.9622328453483755,36.388720989624076
zelda_256,128,1,1.5,15.027450561523438,6.919448762691161,36.36195053000697
zelda_256,128,2,1.5,13.597061157226562,7.647363867233309,36.79635309933044
zelda_256,128,3,1.5,14.9486083984375,6.955943417796977,36.384795958335225
zelda_256,128,4,1.5,14.891891479492188,6.982435665578843,36.401304981099955
