im,L,k,qs,MSE,SNR,PSNR
airplane_256,128,0,0.35,17.94244384765625,6.476191367116941,35.591987651214886
airplane_256,128,1,0.35,15.89459228515625,7.310580722456676,36.11830968634597
airplane_256,128,2,0.35,17.69427490234375,6.5670224178432095,35.65247590580625
airplane_256,128,3,0.35,16.332534790039062,7.1145539528891435,36.00026768911562
airplane_256,128,4,0.35,13.956100463867188,8.32601486726283,36.68316273784435
arctichare_256,128,0,0.35,13.967071533203125,4.5488132356507816,36.6797500345033
arctichare_256,128,1,0.35,13.510528564453125,4.702525112205876,36.824080208662394
arctichare_256,128,2,0.35,12.591262817382812,5.045848123017859,37.13011071815014
arctichare_256,128,3,0.35,11.667465209960938,5.445364413795268,37.46103846287748
arctichare_256,128,4,0.35,13.958328247070312,4.5516625436037135,36.682469537948286
baboon_256,128,0,0.35,17.10595703125,5.792839073159592,35.79932984085274
baboon_256,128,1,0.35,14.896820068359375,6.6518932107453,36.399867887075466
baboon_256,128,2,0.35,15.70770263671875,6.308500903421344,36.16967689841631
baboon_256,128,3,0.35,16.012710571289062,6.188337435642347,36.08615506992757
baboon_256,128,4,0.35,15.827896118164062,6.260595567132653,36.13657169631272
barbara_256,128,0,0.35,15.736068725585938,6.868814355765996,36.161841172180964
barbara_256,128,1,0.35,14.774200439453125,7.316005709316473,36.435763741321814
barbara_256,128,2,0.35,19.281082153320312,5.60591640583885,35.27948955781042
barbara_256,128,3,0.35,15.686477661132812,6.890529352771177,36.175549255071275
barbara_256,128,4,0.35,17.085220336914062,6.326411520259499,35.80459776885081
boat_256,128,0,0.35,16.556793212890625,6.452121806415462,35.941041361973376
boat_256,128,1,0.35,16.724807739257812,6.387304906498358,35.89719226850133
boat_256,128,2,0.35,17.529937744140625,6.0939432924631936,35.69299987125753
boat_256,128,3,0.35,16.841903686523438,6.342896178576509,35.86689181434379
boat_256,128,4,0.35,18.586990356445312,5.747377304478962,35.43871287255476
fruits_256,128,0,0.35,17.418914794921875,6.503142174872062,35.720592660664096
fruits_256,128,1,0.35,18.673721313476562,6.066154546368241,35.418494877573856
fruits_256,128,2,0.35,16.911041259765625,6.6984449806096285,35.8491001172977
fruits_256,128,3,0.35,14.872512817382812,7.616579715497828,36.406960089884244
fruits_256,128,4,0.35,15.309768676757812,7.399045788022217,36.28111732100844
lena_256,128,0,0.35,17.329071044921875,6.054820996796627,35.743050786431866
lena_256,128,1,0.35,15.776626586914062,6.650624747929516,36.15066214422188
lena_256,128,2,0.35,16.48284912109375,6.365672733332099,35.960480776195425
lena_256,128,3,0.35,15.706207275390625,6.68044304891958,36.1700903631366
lena_256,128,4,0.35,14.396636962890625,7.288120377573668,36.548193075946706
monarch_256,128,0,0.35,17.88519287109375,6.233689439001334,35.60586732994602
monarch_256,128,1,0.35,16.75439453125,6.654417604115058,35.88951622906605
monarch_256,128,2,0.35,18.22711181640625,6.11675283709436,35.52362503050525
monarch_256,128,3,0.35,14.362808227539062,7.762460944181387,36.558409990613484
monarch_256,128,4,0.35,17.616012573242188,6.32894291210871,35.67172749267041
peppers_256,128,0,0.35,14.973037719726562,7.4048750959213185,36.377704422162424
peppers_256,128,1,0.35,16.6431884765625,6.661792857614364,35.91843829470577
peppers_256,128,2,0.35,15.451065063476562,7.175781971378657,36.24121939550537
peppers_256,128,3,0.35,15.034957885742188,7.374378762060668,36.35978144927243
peppers_256,128,4,0.35,16.199371337890625,6.84430721467312,36.03582200015573
zelda_256,128,0,0.35,16.444686889648438,6.323116693683604,35.97054752030232
zelda_256,128,1,0.35,18.204330444335938,5.711919727687024,35.52905650664561
zelda_256,128,2,0.35,16.273696899414062,6.38955455770347,36.01594137947273
zelda_256,128,3,0.35,16.601638793945312,6.263337944219006,35.92929400295423
zelda_256,128,4,0.35,16.088531494140625,6.463092932515663,36.065639558675095
