im,L,k,qs,MSE,SNR,PSNR
airplane_256,128,0,0.9,4.371612548828125,26.580283282954856,41.724386969229144
airplane_256,128,1,0.9,3.9077911376953125,29.735135747224728,42.21149017226093
airplane_256,128,2,0.9,4.12091064453125,28.19733548587763,41.98087163234304
airplane_256,128,3,0.9,4.054595947265625,28.6585152904163,42.05132778921499
airplane_256,128,4,0.9,4.5365447998046875,25.61392096385218,41.56355156839028
arctichare_256,128,0,0.9,2.9816131591796875,21.30846506962534,43.38629064383962
arctichare_256,128,1,0.9,3.470001220703125,18.309388329449014,42.72750733297631
arctichare_256,128,2,0.9,4.317657470703125,14.714830966702243,41.77832175042936
arctichare_256,128,3,0.9,4.013946533203125,15.828212789574923,42.09508777591754
arctichare_256,128,4,0.9,3.199005126953125,19.86042451705223,43.08065424752022
baboon_256,128,0,0.9,4.1125030517578125,24.095314952303564,41.989741276336275
baboon_256,128,1,0.9,4.8279266357421875,20.524764303751862,41.29319698849065
baboon_256,128,2,0.9,4.3442535400390625,22.809915526597706,41.75165197181529
baboon_256,128,3,0.9,4.2669830322265625,23.222978747751583,41.82959444988918
baboon_256,128,4,0.9,4.2584991455078125,23.26924413709085,41.838237964300326
barbara_256,128,0,0.9,3.8269195556640625,28.244161705894314,42.30231027699692
barbara_256,128,1,0.9,3.88531494140625,27.81965848217792,42.23654132641875
barbara_256,128,2,0.9,4.72015380859375,22.899282343052953,41.391242102983995
barbara_256,128,3,0.9,3.987762451171875,27.104958253935457,42.12351081142523
barbara_256,128,4,0.9,4.36346435546875,24.771173993929306,41.73248928241682
boat_256,128,0,0.9,4.2307281494140625,25.250132544677474,41.86665240760544
boat_256,128,1,0.9,4.2516326904296875,25.12598201948786,41.845246232222095
boat_256,128,2,0.9,3.9002227783203125,27.389831967293283,42.219909464998835
boat_256,128,3,0.9,3.81781005859375,27.98107943917763,42.31266043032524
boat_256,128,4,0.9,4.3788604736328125,24.395946657002575,41.71719253651746
fruits_256,128,0,0.9,3.876678466796875,29.220292684462848,42.246205789183755
fruits_256,128,1,0.9,4.4002227783203125,25.743623709570592,41.69605695984916
fruits_256,128,2,0.9,4.6262359619140625,24.48592773389185,41.4785258060803
fruits_256,128,3,0.9,4.640380859375,24.411289261850897,41.46526734119723
fruits_256,128,4,0.9,3.3482666015625,33.8317383061723,42.882603300121076
lena_256,128,0,0.9,3.3953094482421875,30.902757117497696,42.822009988818444
lena_256,128,1,0.9,4.494415283203125,23.345511397201115,41.60407162194926
lena_256,128,2,0.9,4.6565399169921875,22.532701337938402,41.45017030683136
lena_256,128,3,0.9,3.9446258544921875,26.599334661431637,42.170745439524424
lena_256,128,4,0.9,4.08319091796875,25.696673343398256,42.02080674140633
monarch_256,128,0,0.9,4.3762359619140625,25.476400012552258,41.71979630222051
monarch_256,128,1,0.9,4.5335235595703125,24.592513185396605,41.56644483877996
monarch_256,128,2,0.9,3.6970062255859375,30.15703277517985,42.4523017896255
monarch_256,128,3,0.9,3.454345703125,32.27550091879285,42.7471456224949
monarch_256,128,4,0.9,4.31866455078125,25.816021736365308,41.777308890275094
peppers_256,128,0,0.9,4.6562652587890625,23.81167479919909,41.450426475708106
peppers_256,128,1,0.9,4.9053955078125,22.6023516237402,41.22406331835776
peppers_256,128,2,0.9,3.946624755859375,28.09323940830324,42.16854525125245
peppers_256,128,3,0.9,4.0793609619140625,27.17912809291365,42.02488225339579
peppers_256,128,4,0.9,4.077056884765625,27.1944879001774,42.02733589919195
zelda_256,128,0,0.9,4.5247955322265625,22.98041391124885,41.574814019083554
zelda_256,128,1,0.9,3.8682403564453125,26.880872079492246,42.25566909356951
zelda_256,128,2,0.9,4.0182342529296875,25.87745453578847,42.09045109443924
zelda_256,128,3,0.9,4.079620361328125,25.488076091591175,42.02460610192611
zelda_256,128,4,0.9,4.9538421630859375,20.990106420661935,41.181381956776036
